
xv6 kernel is booting

init: starting sh
$ task2
110 5 starts
129 5 ends
129 4 starts
138 4 ends
138 6 starts
177 6 ends
177 5 starts
196 5 ends
196 4 starts
205 4 ends
210 5 starts
229 5 ends
229 6 starts
268 6 ends
268 5 starts
287 5 ends
287 4 starts
296 4 ends
310 5 starts
329 5 ends
329 6 starts
368 6 ends
368 5 starts
387 5 ends
387 4 starts
396 4 ends
410 5 starts
429 5 ends
429 6 starts
468 6 ends
468 4 starts
477 4 ends
477 5 starts
496 5 ends
510 5 starts
529 5 ends
529 4 starts
538 4 ends
538 6 starts
577 6 ends
577 5 starts
596 5 ends
596 4 starts
605 4 ends
610 6 starts
649 6 ends
670 4 starts
679 4 ends
710 6 starts
749 6 ends
750 4 starts
759 4 ends
810 6 starts
849 6 ends
849 4 starts
858 4 ends
910 6 starts
949 6 ends
1010 6 starts
1049 6 ends
$ QEMU: Terminated
